"","Agno","Grado","rbd","Grupo_socioeconomico","PtjeLectura","PtjeMatematica","Autoestima","Convivencia","HabitosSaludables","FormacionCiudadana","Desempeno"
"71",2016,"4b",110,"Medio",262,254,73,76,66,79,"MEDIO-BAJO"
"72",2016,"4b",111,"Medio",268,260,74,79,68,80,"MEDIO-BAJO"
"73",2016,"4b",112,"Medio bajo",242,232,77,75,71,81,"MEDIO-BAJO"
"74",2016,"4b",113,"Medio",251,239,73,72,65,75,"INSUFICIENTE"
"75",2016,"4b",114,"Medio",237,217,77,73,68,77,"INSUFICIENTE"
"76",2016,"4b",114,"Medio",237,217,77,73,68,77,"MEDIO-BAJO"
"77",2016,"4b",116,"Medio bajo",250,250,74,74,69,81,"INSUFICIENTE"
"78",2016,"4b",116,"Medio bajo",250,250,74,74,69,81,"MEDIO-BAJO"
"79",2016,"4b",117,"Medio",266,239,93,92,80,94,"INSUFICIENTE"
"80",2016,"4b",117,"Medio",266,239,93,92,80,94,"MEDIO"
"81",2016,"4b",119,"Medio bajo",255,278,81,84,80,89,"INSUFICIENTE"
"82",2016,"4b",119,"Medio bajo",255,278,81,84,80,89,"MEDIO-BAJO"
"83",2016,"4b",122,"Medio",239,229,66,69,58,71,"MEDIO-BAJO"
"84",2016,"4b",122,"Medio",239,229,66,69,58,71,"INSUFICIENTE"
"85",2016,"4b",123,"Medio bajo",251,200,74,74,72,79,"INSUFICIENTE"
"86",2016,"4b",125,"Medio",280,267,78,75,68,79,"MEDIO-BAJO"
"87",2016,"4b",126,"Medio",237,220,75,71,70,77,"INSUFICIENTE"
"88",2016,"4b",127,"Medio alto",294,278,76,80,76,82,"MEDIO"
"89",2016,"4b",129,"Medio",264,239,78,NA,67,69,"INSUFICIENTE"
"90",2016,"4b",129,"Medio",264,239,78,NA,67,69,"MEDIO-BAJO"
"91",2016,"4b",130,"Medio alto",265,267,79,80,75,83,"MEDIO"
"92",2016,"4b",131,"Medio",257,234,73,79,68,79,"MEDIO-BAJO"
"93",2016,"4b",132,"Medio alto",311,296,78,77,73,81,"ALTO"
"94",2016,"4b",133,"Medio",270,259,76,77,74,80,"MEDIO"
"95",2016,"4b",134,"Medio",263,256,75,74,68,76,"INSUFICIENTE"
"96",2016,"4b",134,"Medio",263,256,75,74,68,76,"MEDIO-BAJO"
"97",2016,"4b",144,"Medio",265,241,74,74,69,82,"INSUFICIENTE"
"98",2016,"4b",144,"Medio",265,241,74,74,69,82,"MEDIO-BAJO"
"99",2016,"4b",154,"Bajo",286,223,74,88,86,91,"SIN CATEGORIA: BAJA MATRICULA"
"100",2016,"4b",156,"Medio bajo",212,202,73,66,68,71,"SIN CATEGORIA: BAJA MATRICULA"
"101",2016,"4b",156,"Medio bajo",212,202,73,66,68,71,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"102",2016,"4b",156,"Medio bajo",212,202,73,66,68,71,"MEDIO"
"103",2016,"4b",159,"Bajo",NA,NA,85,70,60,81,"SIN CATEGORIA: BAJA MATRICULA"
"104",2016,"4b",160,"Bajo",225,239,79,75,60,76,"SIN CATEGORIA: BAJA MATRICULA"
"105",2016,"4b",161,"Medio bajo",253,228,75,69,72,79,"INSUFICIENTE"
"106",2016,"4b",161,"Medio bajo",253,228,75,69,72,79,"MEDIO-BAJO"
"107",2016,"4b",162,"Bajo",243,219,69,59,64,64,"SIN CATEGORIA: BAJA MATRICULA"
"108",2016,"4b",162,"Bajo",243,219,69,59,64,64,"MEDIO"
"109",2016,"4b",167,"Medio bajo",260,279,73,76,73,77,"MEDIO"
"110",2016,"4b",167,"Medio bajo",260,279,73,76,73,77,"ALTO"
"111",2016,"4b",168,"Bajo",NA,NA,87,86,93,69,"SIN CATEGORIA: BAJA MATRICULA"
"112",2016,"4b",169,"Bajo",298,335,60,59,66,57,"SIN CATEGORIA: BAJA MATRICULA"
"113",2016,"4b",170,"Bajo",NA,NA,72,NA,75,NA,"SIN CATEGORIA: BAJA MATRICULA"
"114",2016,"4b",171,"Bajo",NA,NA,64,76,63,70,"SIN CATEGORIA: BAJA MATRICULA"
"115",2016,"4b",172,"Bajo",NA,NA,82,NA,98,NA,"SIN CATEGORIA: BAJA MATRICULA"
"116",2016,"4b",173,"Bajo",267,251,79,89,74,79,"SIN CATEGORIA: BAJA MATRICULA"
"117",2016,"4b",174,"Bajo",271,249,71,80,80,72,"SIN CATEGORIA: BAJA MATRICULA"
"118",2016,"4b",177,"Bajo",NA,NA,57,72,44,70,"SIN CATEGORIA: BAJA MATRICULA"
"119",2016,"4b",178,"Bajo",240,226,77,72,63,76,"MEDIO"
"120",2016,"4b",178,"Bajo",240,226,77,72,63,76,"MEDIO-BAJO"
"121",2016,"4b",185,"Bajo",246,175,68,71,68,65,"SIN CATEGORIA: BAJA MATRICULA"
"122",2016,"4b",186,"Bajo",NA,NA,82,87,89,NA,"SIN CATEGORIA: BAJA MATRICULA"
"123",2016,"4b",187,"Medio",268,253,77,NA,68,78,"INSUFICIENTE"
"124",2016,"4b",187,"Medio",268,253,77,NA,68,78,"MEDIO-BAJO"
"125",2016,"4b",188,"Medio bajo",235,205,73,68,68,72,"MEDIO-BAJO"
"126",2016,"4b",188,"Medio bajo",235,205,73,68,68,72,"INSUFICIENTE"
"127",2016,"4b",192,"Medio bajo",190,220,81,62,68,69,"MEDIO"
"128",2016,"4b",192,"Medio bajo",190,220,81,62,68,69,"MEDIO-BAJO"
"129",2016,"4b",192,"Medio bajo",190,220,81,62,68,69,"SIN CATEGORIA: BAJA MATRICULA"
"130",2016,"4b",193,"Medio bajo",233,239,71,74,68,75,"INSUFICIENTE"
"131",2016,"4b",193,"Medio bajo",233,239,71,74,68,75,"MEDIO-BAJO"
"132",2016,"4b",195,"Bajo",258,256,71,74,70,81,"MEDIO-BAJO"
"133",2016,"4b",195,"Bajo",258,256,71,74,70,81,"MEDIO"
"134",2016,"4b",196,"Medio",234,228,69,77,66,65,"SIN CATEGORIA: BAJA MATRICULA"
"135",2016,"4b",198,"Medio bajo",290,259,72,76,70,74,"MEDIO-BAJO"
"136",2016,"4b",198,"Medio bajo",290,259,72,76,70,74,"MEDIO"
"137",2016,"4b",201,"Medio",237,219,75,79,71,84,"INSUFICIENTE"
"138",2016,"4b",201,"Medio",237,219,75,79,71,84,"MEDIO-BAJO"
"139",2016,"4b",203,"Medio bajo",241,233,77,79,71,80,"MEDIO-BAJO"
"140",2016,"4b",204,"Medio bajo",250,251,74,77,72,84,"MEDIO-BAJO"
"141",2016,"4b",204,"Medio bajo",250,251,74,77,72,84,"MEDIO"
"142",2016,"4b",205,"Medio bajo",241,226,70,74,73,75,"MEDIO-BAJO"
"143",2016,"4b",205,"Medio bajo",241,226,70,74,73,75,"INSUFICIENTE"
"144",2016,"4b",206,"Medio bajo",250,250,74,70,68,74,"MEDIO-BAJO"
"145",2016,"4b",208,"Medio alto",264,246,74,71,69,77,"MEDIO"
"146",2016,"4b",210,"Medio",241,254,74,71,71,78,"MEDIO-BAJO"
"147",2016,"4b",214,"Medio bajo",309,275,77,84,75,82,"SIN CATEGORIA: BAJA MATRICULA"
"148",2016,"4b",223,"Medio bajo",241,245,72,76,69,81,"INSUFICIENTE"
"149",2016,"4b",224,"Medio",264,262,71,77,71,77,"MEDIO-BAJO"
"150",2016,"4b",224,"Medio",264,262,71,77,71,77,"MEDIO"
"151",2016,"4b",225,"Medio",278,277,73,77,70,78,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"152",2016,"4b",225,"Medio",278,277,73,77,70,78,"MEDIO"
"153",2016,"4b",226,"Medio",274,268,75,75,70,80,"MEDIO-BAJO"
"154",2016,"4b",226,"Medio",274,268,75,75,70,80,"MEDIO"
"155",2016,"4b",227,"Medio",244,246,76,74,67,78,"MEDIO-BAJO"
"156",2016,"4b",228,"Medio",277,252,76,77,71,79,"MEDIO-BAJO"
"157",2016,"4b",229,"Medio",250,243,74,71,66,80,"INSUFICIENTE"
"158",2016,"4b",229,"Medio",250,243,74,71,66,80,"MEDIO-BAJO"
"159",2016,"4b",230,"Medio",258,254,77,78,72,80,"MEDIO-BAJO"
"160",2016,"4b",231,"Medio",268,261,75,78,64,76,"MEDIO-BAJO"
"161",2016,"4b",231,"Medio",268,261,75,78,64,76,"MEDIO"
"162",2016,"4b",232,"Medio bajo",246,254,75,74,65,78,"MEDIO-BAJO"
"163",2016,"4b",239,"Medio",258,256,69,72,69,73,"INSUFICIENTE"
"164",2016,"4b",239,"Medio",258,256,69,72,69,73,"MEDIO-BAJO"
"165",2016,"4b",240,"Medio",280,279,84,87,77,89,"MEDIO-BAJO"
"166",2016,"4b",240,"Medio",280,279,84,87,77,89,"MEDIO"
"167",2016,"4b",246,"Bajo",184,185,67,59,53,75,"SIN CATEGORIA: BAJA MATRICULA"
"168",2016,"4b",248,"Medio alto",NA,NA,85,99,84,95,"SIN CATEGORIA: BAJA MATRICULA"
"169",2016,"4b",252,"Medio bajo",237,234,74,77,70,85,"MEDIO"
"170",2016,"4b",252,"Medio bajo",237,234,74,77,70,85,"MEDIO-BAJO"
"171",2016,"4b",253,"Medio alto",298,327,76,77,68,75,"MEDIO"
"172",2016,"4b",253,"Medio alto",298,327,76,77,68,75,"ALTO"
"173",2016,"4b",254,"Medio alto",277,251,76,74,71,78,"MEDIO"
"174",2016,"4b",255,"Medio",249,240,73,76,74,78,"MEDIO-BAJO"
"175",2016,"4b",256,"Medio alto",276,265,73,77,70,79,"MEDIO"
"176",2016,"4b",257,"Alto",296,290,75,75,73,80,"ALTO"
"177",2016,"4b",257,"Alto",296,290,75,75,73,80,"MEDIO"
"178",2016,"4b",268,"Bajo",249,270,77,72,60,80,"SIN CATEGORIA: BAJA MATRICULA"
"179",2016,"4b",269,"Medio",270,277,79,72,76,78,"MEDIO-BAJO"
"180",2016,"4b",269,"Medio",270,277,79,72,76,78,"MEDIO"
"181",2016,"4b",270,"Medio",256,258,84,68,72,80,"MEDIO"
"182",2016,"4b",271,"Medio bajo",300,268,89,65,94,88,"SIN CATEGORIA: BAJA MATRICULA"
"183",2016,"4b",273,"Medio",262,259,77,63,70,72,"SIN CATEGORIA: BAJA MATRICULA"
"184",2016,"4b",273,"Medio",262,259,77,63,70,72,"MEDIO"
"185",2016,"4b",274,"Medio",NA,NA,73,69,67,65,"SIN CATEGORIA: BAJA MATRICULA"
"186",2016,"4b",277,"Bajo",NA,NA,69,75,78,75,"SIN CATEGORIA: BAJA MATRICULA"
"187",2016,"4b",284,"Medio",239,244,76,75,72,80,"INSUFICIENTE"
"188",2016,"4b",285,"Medio",273,241,74,73,67,77,"INSUFICIENTE"
"189",2016,"4b",285,"Medio",273,241,74,73,67,77,"MEDIO-BAJO"
"190",2016,"4b",288,"Medio",265,265,77,76,72,80,"MEDIO"
"191",2016,"4b",289,"Medio bajo",241,235,78,NA,72,81,"INSUFICIENTE"
"192",2016,"4b",289,"Medio bajo",241,235,78,NA,72,81,"MEDIO-BAJO"
"193",2016,"4b",291,"Medio",261,265,76,73,73,79,"MEDIO-BAJO"
"194",2016,"4b",291,"Medio",261,265,76,73,73,79,"MEDIO"
"195",2016,"4b",292,"Medio",247,238,73,72,70,76,"INSUFICIENTE"
"196",2016,"4b",293,"Medio bajo",246,236,74,71,71,75,"INSUFICIENTE"
"197",2016,"4b",294,"Medio",239,225,76,67,64,75,"INSUFICIENTE"
"198",2016,"4b",294,"Medio",239,225,76,67,64,75,"MEDIO-BAJO"
"199",2016,"4b",296,"Medio bajo",253,240,76,76,71,82,"INSUFICIENTE"
"200",2016,"4b",297,"Medio",227,234,75,73,68,77,"INSUFICIENTE"
"201",2016,"4b",298,"Medio",250,224,73,71,66,73,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"202",2016,"4b",298,"Medio",250,224,73,71,66,73,"INSUFICIENTE"
"203",2016,"4b",301,"Medio bajo",236,220,72,71,72,74,"INSUFICIENTE"
"204",2016,"4b",302,"Medio bajo",233,210,72,70,64,79,"MEDIO-BAJO"
"205",2016,"4b",302,"Medio bajo",233,210,72,70,64,79,"INSUFICIENTE"
